Unnamed: 0,stop_id,direction_id,branch_route_id,headway_trunk_seconds,headway_branch_seconds,stop_name
140,70174,1,Green-D,639.3151943462898,639.3151943462898,Reservoir
141,70175,0,Green-D,631.5260619977038,631.4430670339761,Reservoir
142,70176,1,Green-B,322.0,,Beaconsfield
143,70176,1,Green-C,448.0,,Beaconsfield
144,70176,1,Green-D,577.6563829787234,577.8800510421097,Beaconsfield
145,70177,0,Green-D,615.3513152028534,615.3513152028534,Beaconsfield
146,70178,1,Green-C,362.0,,Brookline Hills
147,70178,1,Green-D,552.7995926680244,552.7817589576547,Brookline Hills
148,70179,0,Green-D,616.4266845757779,616.4266845757779,Brookline Hills
149,70180,1,Green-D,538.4576976421637,538.4685023771791,Brookline Village
150,70181,0,Green-D,614.8269703058719,614.8269703058719,Brookline Village
151,70182,1,Green-D,523.0548944337812,522.9961590167082,Longwood
152,70183,0,Green-D,615.5288075033498,615.5288075033498,Longwood
153,70186,1,Green-D,602.5132075471698,602.5132075471698,Fenway
154,70187,0,Green-D,618.5662028725314,618.6629263913824,Fenway
155,70196,0,Green-B,141.9987093443469,602.9591145833333,Park Street
156,70196,0,Green-C,155.3041237113402,687.7603092783505,Park Street
157,70196,0,Green-D,173.09677419354838,543.6774193548387,Park Street
158,70196,0,Green-E,331.3636363636364,641.2727272727273,Park Street
159,70197,0,Green-C,153.5473624503687,597.8694531920985,Park Street
160,70197,0,Green-D,157.66666666666666,354.0,Park Street
161,70197,0,Green-E,140.7027027027027,621.8648648648649,Park Street
162,70198,0,Green-B,149.0,569.5294117647059,Park Street
163,70198,0,Green-C,33.666666666666664,155.33333333333334,Park Street
164,70198,0,Green-D,173.5718459495352,628.2577015804983,Park Street
165,70198,0,Green-E,140.07692307692307,478.0,Park Street
166,70199,0,Green-C,133.66666666666666,471.5185185185185,Park Street
167,70199,0,Green-E,144.76915731678204,559.8218720152818,Park Street
168,70200,1,Green-B,149.8790419161677,685.0431502715751,Park Street
169,70200,1,Green-C,161.41248226950356,669.7304397487151,Park Street
