stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line,year
70180,1,Government Center,500.53032797828314,Brookline Village,Brookline Village - Green Line - Park Street & North,green,2018
70180,1,Lechmere,527.25,Brookline Village,Brookline Village - Green Line - Park Street & North,green,2018
70181,0,Riverside,519.7078056694759,Brookline Village,Brookline Village - Green Line - (D) Riverside,green,2018
70182,1,Government Center,483.8543879024722,Longwood,Longwood - Green Line - Park Street & North,green,2018
70182,1,Lechmere,621.5,Longwood,Longwood - Green Line - Park Street & North,green,2018
70182,1,North Station,17.0,Longwood,Longwood - Green Line - Park Street & North,green,2018
70182,1,Park St,291.5,Longwood,Longwood - Green Line - Park Street & North,green,2018
70183,0,Riverside,516.3120870753174,Longwood,Longwood - Green Line - (D) Riverside,green,2018
70186,1,Government Center,498.10965601536583,Fenway,Fenway - Green Line - Park Street & North,green,2018
70186,1,Lechmere,466.3333333333333,Fenway,Fenway - Green Line - Park Street & North,green,2018
70186,1,North Station,533.8333333333334,Fenway,Fenway - Green Line - Park Street & North,green,2018
70186,1,Park St,59.0,Fenway,Fenway - Green Line - Park Street & North,green,2018
70187,0,Riverside,519.6143655698963,Fenway,Fenway - Green Line - (D) Riverside,green,2018
70196,0,Boston College,506.818587076505,Park Street,Park Street - Green Line - (B) Boston College,green,2018
70197,0,Cleveland Circle,528.3197626034778,Park Street,Park Street - Green Line - (C) Cleveland Circle,green,2018
70198,0,Riverside,527.491821495244,Park Street,Park Street - Green Line - (D) Riverside,green,2018
70199,0,Heath St,528.5708865052783,Park Street,Park Street - Green Line - (E) Heath Street,green,2018
70200,1,Government Center,159.54681257213886,Park Street,Park Street - Green Line - Government Center & North,green,2018
70200,1,Lechmere,178.3356072874494,Park Street,Park Street - Green Line - Government Center & North,green,2018
70200,1,North Station,172.63229571984436,Park Street,Park Street - Green Line - Government Center & North,green,2018
70200,1,Park St,154.1346992595598,Park Street,Park Street - Green Line - Government Center & North,green,2018
70201,1,Government Center,185.7822858658181,Government Center,Government Center - Green Line - North Station & North,green,2018
70201,1,Lechmere,247.5790958768008,Government Center,Government Center - Green Line - North Station & North,green,2018
70201,1,North Station,251.55099873463485,Government Center,Government Center - Green Line - North Station & North,green,2018
70201,1,Park St,218.53069196428572,Government Center,Government Center - Green Line - North Station & North,green,2018
70202,0,Cleveland Circle,539.728997350815,Government Center,Government Center - Green Line - Copley & West,green,2018
70202,0,Heath St,519.4071534897373,Government Center,Government Center - Green Line - Copley & West,green,2018
70202,0,Riverside,576.0840685143462,Government Center,Government Center - Green Line - Copley & West,green,2018
70203,1,Government Center,251.2258883248731,Haymarket,Haymarket - Green Line - North Station & North,green,2018
70203,1,Lechmere,300.38016626517407,Haymarket,Haymarket - Green Line - North Station & North,green,2018
70203,1,North Station,309.1319179128916,Haymarket,Haymarket - Green Line - North Station & North,green,2018
70203,1,Park St,299.6817518248175,Haymarket,Haymarket - Green Line - North Station & North,green,2018
70204,0,Cleveland Circle,571.6788535427057,Haymarket,Haymarket - Green Line - Copley & West,green,2018
70204,0,Heath St,501.8980118194188,Haymarket,Haymarket - Green Line - Copley & West,green,2018
70204,0,Riverside,1188.8842592592594,Haymarket,Haymarket - Green Line - Copley & West,green,2018
70205,1,Government Center,314.13106159895153,North Station,North Station - Green Line - Lechmere & North,green,2018
70205,1,Lechmere,445.5972352024922,North Station,North Station - Green Line - Lechmere & North,green,2018
70205,1,North Station,296.8799885156474,North Station,North Station - Green Line - Lechmere & North,green,2018
70205,1,Park St,283.3333333333333,North Station,North Station - Green Line - Lechmere & North,green,2018
70206,0,Cleveland Circle,567.2208349686028,North Station,North Station - Green Line - Copley & West,green,2018
70206,0,Heath St,498.41516208241336,North Station,North Station - Green Line - Copley & West,green,2018
70206,0,Riverside,1180.5333333333333,North Station,North Station - Green Line - Copley & West,green,2018
70207,1,Government Center,414.1814345991561,Science Park/West End,Science Park/West End - Green Line - Lechmere & North,green,2018
70207,1,Lechmere,558.8791863421721,Science Park/West End,Science Park/West End - Green Line - Lechmere & North,green,2018
70207,1,North Station,536.235761589404,Science Park/West End,Science Park/West End - Green Line - Lechmere & North,green,2018
70207,1,Park St,460.65,Science Park/West End,Science Park/West End - Green Line - Lechmere & North,green,2018
70208,0,Cleveland Circle,557.1869918699186,Science Park/West End,Science Park/West End - Green Line - Copley & West,green,2018
70208,0,Heath St,510.86556275104516,Science Park/West End,Science Park/West End - Green Line - Copley & West,green,2018
70208,0,Riverside,1217.7810650887575,Science Park/West End,Science Park/West End - Green Line - Copley & West,green,2018
70209,1,Government Center,575.025974025974,,,green,2018
70209,1,Lechmere,629.7413286302175,,,green,2018
70209,1,North Station,631.6439393939394,,,green,2018
70209,1,Park St,825.2222222222222,,,unknown,2018
70210,0,Cleveland Circle,537.0843373493976,,,green,2018
